country,region_id,authority_id,auth_name_e,old_park_id,new_park_id,park_offical_id
England,E12000007,E09000007,Camden,CAMDE_fc61ef255b0f;CAMDE_46670aebd64f,41d2c83c2495,CAMDE_0
England,E12000007,E09000007,Camden,CAMDE_88b1875207fb;CAMDE_ae8c2df5f3d6;CAMDE_7a114f602175,3a98cda6f5f9,CAMDE_1
England,E12000007,E09000007,Camden,CAMDE_2b458645c8bf;CAMDE_351c4aea182a,dc8407ca2804,CAMDE_2
England,E12000007,E09000007,Camden,CAMDE_63522429cb05;CAMDE_65d820fc6bfc,56dd1b16b323,CAMDE_3
England,E12000007,E09000007,Camden,CAMDE_45b558a52c54,61b9bd4302ce,CAMDE_4
England,E12000007,E09000007,Camden,CAMDE_1bbf910ec907,832cf65f736e,CAMDE_5
England,E12000007,E09000007,Camden,CAMDE_76dcbf2febdf,b6fd78ba0980,CAMDE_6
England,E12000007,E09000007,Camden,CAMDE_1a53a09c9a8c;CAMDE_d7e49d39755a;CAMDE_cdafb9c4ee0f,ee839cc110ae,CAMDE_7
England,E12000007,E09000007,Camden,CAMDE_2eabb1430d51;CAMDE_6142a6d57e6e,cf0784559f8b,CAMDE_8
England,E12000007,E09000007,Camden,CAMDE_e95ee5a9a4df;CAMDE_933791ae8b54,be0e7b2847f1,CAMDE_9
England,E12000007,E09000007,Camden,CAMDE_79b27ee84e7f,72fd9f8bac69,CAMDE_10
England,E12000007,E09000007,Camden,CAMDE_df2f105586d1,d623640998b0,CAMDE_11
England,E12000007,E09000007,Camden,CAMDE_df3e725f35d7;CAMDE_fc9b6c72d9c6,408016515587,CAMDE_12
England,E12000007,E09000007,Camden,CAMDE_f9e1be8dac8a;CAMDE_fa8c61fe0feb,131f7c208b15,CAMDE_13
England,E12000007,E09000007,Camden,CAMDE_8f79e5bb17a3;CAMDE_24d7d3dd6e24,da1cd4273318,CAMDE_14
England,E12000007,E09000007,Camden,CAMDE_b18b1cd1acf7,06adc8e8e6bb,CAMDE_15
England,E12000007,E09000007,Camden,CAMDE_17511e2c265c,fbecf9c61381,CAMDE_16
England,E12000007,E09000007,Camden,CAMDE_adcf36e2db0f;CAMDE_ae9c37a596c1,4777c5503af6,CAMDE_17
England,E12000007,E09000007,Camden,CAMDE_8749767e6d91;CAMDE_83550a6f1a3d,082ed302631b,CAMDE_18
England,E12000007,E09000007,Camden,CAMDE_8a226a518b33;CAMDE_289c5d9dad4c,476cdd157a98,CAMDE_19
England,E12000007,E09000007,Camden,CAMDE_b0f74476ea89;CAMDE_8eba15f91a83,c8441c0642fa,CAMDE_20
England,E12000007,E09000007,Camden,CAMDE_1b17eb80daff;CAMDE_48d791626a3e;CAMDE_502de15f7ae2,afbfeadeaf3f,CAMDE_21
England,E12000007,E09000007,Camden,CAMDE_777949248c0d;CAMDE_2557fc138fe8,77f61633feef,CAMDE_22
England,E12000007,E09000007,Camden,CAMDE_acebcdb58c95;CAMDE_9b87d77229a2,3e339ab8394a,CAMDE_23
